AL, 09, 2008090106,   , BEST,   0, 172N,  370W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  250,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 09, 2008090112,   , BEST,   0, 173N,  384W,  35, 1005, TS,  34, NEQ,  120,   75,    0,   60, 1011,  250,  90,  40,   0,   L,   0,    ,   0,   0,       NINE, D, 
AL, 09, 2008090118,   , BEST,   0, 175N,  399W,  45, 1003, TS,  34, NEQ,  130,  110,    0,   75, 1011,  250,  90,  55,   0,   L,   0,    ,   0,   0,        IKE, D, 
AL, 09, 2008090200,   , BEST,   0, 178N,  413W,  45, 1002, TS,  34, NEQ,  140,  120,    0,   90, 1011,  250,  20,  55,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  75,   0,  50
AL, 09, 2008090206,   , BEST,   0, 182N,  428W,  45, 1000, TS,  34, NEQ,  145,  120,    0,  120, 1011,  275,  20,  55,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  75,   0, 100
AL, 09, 2008090212,   , BEST,   0, 187N,  443W,  50,  999, TS,  34, NEQ,  150,  120,    0,  120, 1011,  250,  90,  60,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  90,  30, 180
AL, 09, 2008090212,   , BEST,   0, 187N,  443W,  50,  999, TS,  50, NEQ,   90,    0,    0,    0, 1011,  250,  90,  60,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  90,  30, 180
AL, 09, 2008090218,   , BEST,   0, 193N,  458W,  55,  996, TS,  34, NEQ,  150,  120,   45,  120, 1011,  250,  90,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  90,  30, 180
AL, 09, 2008090218,   , BEST,   0, 193N,  458W,  55,  996, TS,  50, NEQ,   90,    0,    0,    0, 1011,  250,  90,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  90,  30, 180
AL, 09, 2008090300,   , BEST,   0, 198N,  473W,  55,  994, TS,  34, NEQ,  150,  115,   45,  120, 1011,  250,  90,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090300,   , BEST,   0, 198N,  473W,  55,  994, TS,  50, NEQ,   75,    0,    0,   30, 1011,  250,  90,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090306,   , BEST,   0, 202N,  488W,  55,  992, TS,  34, NEQ,  145,  110,   45,  120, 1011,  200,  50,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090306,   , BEST,   0, 202N,  488W,  55,  992, TS,  50, NEQ,   75,    0,    0,   30, 1011,  200,  50,  65,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090312,   , BEST,   0, 206N,  503W,  60,  989, TS,  34, NEQ,  135,  105,   50,  120, 1011,  200,  45,  75,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090312,   , BEST,   0, 206N,  503W,  60,  989, TS,  50, NEQ,   75,    0,    0,   40, 1011,  200,  45,  75,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 150,  60, 210
AL, 09, 2008090318,   , BEST,   0, 211N,  519W,  75,  979, HU,  34, NEQ,  130,  100,   60,  120, 1011,  200,  30,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  60, 210
AL, 09, 2008090318,   , BEST,   0, 211N,  519W,  75,  979, HU,  50, NEQ,   75,   50,   30,   50, 1011,  200,  30,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  60, 210
AL, 09, 2008090318,   , BEST,   0, 211N,  519W,  75,  979, HU,  64, NEQ,   30,    0,    0,    0, 1011,  200,  30,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  60, 210
AL, 09, 2008090400,   , BEST,   0, 218N,  535W, 105,  956, HU,  34, NEQ,  120,  100,   75,  120, 1008,  185,  20, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  75, 210
AL, 09, 2008090400,   , BEST,   0, 218N,  535W, 105,  956, HU,  50, NEQ,   75,   50,   40,   50, 1008,  185,  20, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  75, 210
AL, 09, 2008090400,   , BEST,   0, 218N,  535W, 105,  956, HU,  64, NEQ,   30,   25,   20,   25, 1008,  185,  20, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 270, 180,  75, 210
AL, 09, 2008090406,   , BEST,   0, 224N,  550W, 125,  935, HU,  34, NEQ,  115,  100,   90,  120, 1008,  175,  15, 155,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 180,  75, 300
AL, 09, 2008090406,   , BEST,   0, 224N,  550W, 125,  935, HU,  50, NEQ,   75,   50,   40,   60, 1008,  175,  15, 155,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 180,  75, 300
AL, 09, 2008090406,   , BEST,   0, 224N,  550W, 125,  935, HU,  64, NEQ,   30,   25,   20,   25, 1008,  175,  15, 155,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 180,  75, 300
AL, 09, 2008090412,   , BEST,   0, 230N,  564W, 120,  937, HU,  34, NEQ,  110,   95,   90,   90, 1009,  180,  15, 145,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090412,   , BEST,   0, 230N,  564W, 120,  937, HU,  50, NEQ,   60,   55,   40,   50, 1009,  180,  15, 145,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090412,   , BEST,   0, 230N,  564W, 120,  937, HU,  64, NEQ,   40,   30,   25,   30, 1009,  180,  15, 145,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090418,   , BEST,   0, 234N,  577W, 115,  940, HU,  34, NEQ,  105,   95,   90,   85, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090418,   , BEST,   0, 234N,  577W, 115,  940, HU,  50, NEQ,   60,   55,   40,   50, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090418,   , BEST,   0, 234N,  577W, 115,  940, HU,  64, NEQ,   40,   30,   25,   30, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090500,   , BEST,   0, 236N,  590W, 115,  944, HU,  34, NEQ,  105,   95,   90,   80, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090500,   , BEST,   0, 236N,  590W, 115,  944, HU,  50, NEQ,   50,   50,   40,   50, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090500,   , BEST,   0, 236N,  590W, 115,  944, HU,  64, NEQ,   40,   30,   25,   30, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 120, 300
AL, 09, 2008090506,   , BEST,   0, 236N,  604W, 115,  949, HU,  34, NEQ,  105,   90,   90,   85, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090506,   , BEST,   0, 236N,  604W, 115,  949, HU,  50, NEQ,   50,   50,   45,   50, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090506,   , BEST,   0, 236N,  604W, 115,  949, HU,  64, NEQ,   40,   30,   30,   30, 1010,  180,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090512,   , BEST,   0, 235N,  619W, 105,  954, HU,  34, NEQ,  105,   90,   90,   90, 1012,  180,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090512,   , BEST,   0, 235N,  619W, 105,  954, HU,  50, NEQ,   50,   50,   45,   50, 1012,  180,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090512,   , BEST,   0, 235N,  619W, 105,  954, HU,  64, NEQ,   40,   30,   30,   30, 1012,  180,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090518,   , BEST,   0, 232N,  634W, 100,  959, HU,  34, NEQ,  105,   90,   90,  105, 1013,  180,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090518,   , BEST,   0, 232N,  634W, 100,  959, HU,  50, NEQ,   50,   50,   45,   50, 1013,  180,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090518,   , BEST,   0, 232N,  634W, 100,  959, HU,  64, NEQ,   40,   35,   30,   35, 1013,  180,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  34, NEQ,  105,   90,   90,  110, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  50, NEQ,   50,   50,   45,   50, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
AL, 09, 2008090600,   , BEST,   0, 228N,  649W, 100,  962, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 270, 180, 300
